Timestamp,Discord username (with numbers),Deck (Paste Here),"I have made sure that my deck abides by the ban-lists, and I understand that I will be immediately disqualified if it doesn't."
6/30/2024 0:32:38,exploding_star#5746,"//deck-1
2 Laji of the Blue-Flame Lamp (she)
1 Zammer Zead (pv)
2 Moltown the Sheosian Moon (she)
1 Help-O-Belt (piii)
2 Fire Wall (dsd)
2 Fraxle (kirohh)
2 Zomatle (pv)
1 Relohex Mine (coc)
1 Offerings to Eos (she)
1 Aubade Soldier (she)
1 Beast Of The Black Hole (dsd)
1 K.O. (loc)
2 Magsprout (piv)
2 Time Flash Portal (piv)
2 Scoria Carrier (pv)
1 Activation Activated Activator (gdi)
2 The Undying Blue-Flame (she)
1 Crimson Grenade (pv)
2 Sheosian Lava Mole (gdi)
1 Galaxy Crash (ooc)
1 Planetary Field (dsd)
1 Beast of the Conjurers (pv)
2 Jakrah of the Blue-Flame Jar (she)

//pile-expel
1 Creature Zone (zone)
1 Resource Zone (zone)
1 Battle Zone (zone)

//play-1
1 Sheos (pv)

//deck-2
1 Pelfam (ooc)
1 For Sale Sign (ooc)
1 Sheosian Lava Behemoth (gii)",My deck abides by the ban-list
7/3/2024 1:51:44,._red_diamond_.,"//play-1
1 Palicium

//deck-1
2 Droplet Squoz
2 Doople Drop
2 Hammerhead Sharkling
2 Roudy of Palifalls
2 Zammer Zead
2 Blure of Palifalls
2 Mystical Beast Of The Deep LOC
1 Zettoray - Mantalossus
1 Zettoray - Sawdrius
2 Kranchon
2 Gobbostorrus
2 Great Serpent of the Falls
1 Kranchon of Palicium
1 Help-O-Belt
1 Galaxy Crash
2 Abomination Tomb
1 Warphole Jetpack
1 Activation Activated Activator
1 Planetary Field
1 Beast Of The Black Hole
1 Relohex Mine
2 Leviathan Crown

//sideboard-1
1 Zettoray - Mantalossus
1 Zettoray - Sawdrius
2 Abandonment
2 Burning Damacloid",My deck abides by the ban-list
7/5/2024 22:49:31,Chronoknight,"
2 Deepspace Lighthouse
2 Shape Knight Squarn
1 Abandonment
1 Super Flooper

2 Jakrah of the Blue-Flame Jar
1 Meltalon
1 Mouthmouthmouthmou
1 Laji of the Blue-Flame Lamp
2 Skaril of the blue-Flame Scroll
2 Sheosian Lava Mole
2 Fraxle
1 Aubade Soldier
2 Wik
2 Zammer Zead
2 Zomatle
2 Moltown the Sheosian Moon
1 For Sale Sign
2 Offerings to Eos
2 The Undying Blue-Flame
2 Time Flash Portal
1 Galaxy Crash
1 Fire Wall
2 Erratic Void
1 Beast Of The Black Hole
1 Planetary Field
1 Activation Activated Activator

1 Resource Zone DD
1 Battle Zone DD
1 Creature Zone DD
1 Sheos
",My deck abides by the ban-list
7/6/2024 2:18:23,finnthedemon ,"//play-1
1 Sheos

//deck-1
2 Aubade Commander
1 Pelfam
1 Meltalon
1 Dark-Spark Diabolus
2 Jakrah of the Blue-Flame Jar
2 Laji of the Blue-Flame Lamp
1 Scoria Carrier
2 Fraxle
2 Sheosian Lava Mole
2 Zammer Zead
2 Zomatle
2 Blazing Squoz
1 For Sale Sign
1 Abomination Tomb
2 Moltown the Sheosian Moon
1 Galaxy Crash
2 The Undying Blue-Flame
1 Activation Activated Activator
2 Crimson Grenade
2 Fire Wall
1 Planetary Field
1 Beast Of The Black Hole

//sideboard-1
2 Spirit of the Anti-Justice Sword
2 Time Flash Portal
2 Super Flooper
",My deck abides by the ban-list
7/6/2024 7:04:48,Secret27,"//deck-1
2 Jakrah of the Blue-Flame Jar
2 Laji of the Blue-Flame Lamp
2 The Undying Blue-Flame
1 Floating Temp of Tempfloaty
1 Meltalon
1 Dark-Spark Diabolus
2 Sheosian Lava Rhino
2 Sheosian Lava Mole
2 Magsprout
1 Scoria Carrier
2 Zammer Zead
2 Zomatle
2 Obsidiblob
2 Offerings to Eos
1 Galaxy Crash
1 Deepspace Lighthouse
2 Moltown the Sheosian Moon
1 For Sale Sign
2 Monument to Creation
1 Beast Of The Black Hole
1 Planetary Field
1 Activation Activated Activator

//play-1
1 Sheos

//sideboard-1
2 Shape Knight Squarn
1 Scoria Carrier
1 Deepspace Lighthouse
2 Super Bouncy Trampoline
",My deck abides by the ban-list
7/6/2024 8:00:14,GoldfishGallant,"//deck-1
1 Pelfam
2 Skardian of the Sun
2 Beast of the Conjurers
2 Skardian of the Moons
1 Dark-Spark Diabolus
2 Skelepede
2 Fraxle
1 Shape Knight Squarn
2 Zammer Zead
2 Skeleghast
2 Soulomancer
2 Time Flash Portal
2 Soulshroom
1 Galaxy Crash
2 Abomination Tomb
2 Blaze Elixir
1 For Sale Sign
1 Beast Of The Black Hole
1 Super Bouncy Trampoline
1 The Lost Probe
1 Planetary Field
1 Activation Activated Activator

//play-1
1 Battle Fish (Chaos Galaxy)
1 Creature Fish (Chaos Galaxy)
1 Resource Fish (Chaos Galaxy)

//sideboard-1
1 Super Flooper
2 K.O.
2 Monument to Creation

//pile-facedown
1 Rokah
",My deck abides by the ban-list
